Provider_ID,Name,Specialty,State,Hospital_Affiliation,Years_Experience,Accepts_Medicare,Accepts_Medicaid
PR0333,Dr. David Lee,Oncologist,NY,Stanford Medical,16,Yes,Yes
PR0334,Dr. David Lee,General Physician,TX,Mayo Clinic,10,Yes,Yes
PR0335,Dr. David Lee,Oncologist,NY,Baylor Medical,5,Yes,Yes
PR0336,Dr. Emily Johnson,Cardiologist,TX,Cleveland Clinic,21,No,Yes
PR0337,Dr. Susan Clark,Cardiologist,FL,Baylor Medical,20,No,No
PR0338,Dr. David Lee,Endocrinologist,FL,Cleveland Clinic,27,No,No
PR0339,Dr. Susan Clark,Oncologist,TX,Mount Sinai,28,No,Yes
PR0340,Dr. Lisa Chen,Cardiologist,TX,Mayo Clinic,7,Yes,No
PR0341,Dr. Lisa Chen,Neurologist,CA,Baylor Medical,10,No,No
PR0342,Dr. Emily Johnson,Cardiologist,CA,Baylor Medical,24,No,Yes
PR0343,Dr. David Lee,Endocrinologist,NY,Baylor Medical,14,Yes,No
PR0344,Dr. Susan Clark,Oncologist,TX,Cleveland Clinic,17,Yes,Yes
PR0345,Dr. Lisa Chen,Cardiologist,CA,Mayo Clinic,18,No,No
PR0346,Dr. Lisa Chen,Cardiologist,FL,Cleveland Clinic,29,No,No
PR0347,Dr. David Lee,Neurologist,FL,Stanford Medical,22,No,Yes
PR0348,Dr. Lisa Chen,Oncologist,IL,Mayo Clinic,9,Yes,Yes
PR0349,Dr. Emily Johnson,General Physician,TX,Stanford Medical,17,No,No
PR0350,Dr. Raj Patel,Endocrinologist,CA,Baylor Medical,14,No,Yes
PR0351,Dr. Emily Johnson,Endocrinologist,CA,Baylor Medical,10,No,Yes
PR0352,Dr. Lisa Chen,Cardiologist,FL,Baylor Medical,21,No,Yes
PR0353,Dr. Lisa Chen,Neurologist,IL,Mount Sinai,17,No,Yes
PR0354,Dr. Emily Johnson,Neurologist,IL,Mount Sinai,26,Yes,Yes
PR0355,Dr. David Lee,General Physician,IL,Stanford Medical,8,Yes,Yes
PR0356,Dr. David Lee,Neurologist,FL,Baylor Medical,25,No,No
PR0357,Dr. Susan Clark,General Physician,NY,Stanford Medical,16,Yes,No
PR0358,Dr. David Lee,Neurologist,FL,Stanford Medical,12,Yes,Yes
PR0359,Dr. Lisa Chen,Cardiologist,NY,Stanford Medical,9,No,Yes
PR0360,Dr. Susan Clark,General Physician,IL,Baylor Medical,24,Yes,No
PR0361,Dr. Lisa Chen,Oncologist,FL,Baylor Medical,27,Yes,Yes
PR0362,Dr. David Lee,Endocrinologist,NY,Mayo Clinic,10,Yes,No
PR0363,Dr. David Lee,Endocrinologist,IL,Baylor Medical,27,Yes,Yes
PR0364,Dr. David Lee,Endocrinologist,TX,Mayo Clinic,18,No,Yes
PR0365,Dr. Raj Patel,Endocrinologist,FL,Mount Sinai,15,No,Yes
PR0366,Dr. Emily Johnson,Endocrinologist,TX,Stanford Medical,19,No,Yes
PR0367,Dr. Raj Patel,Oncologist,IL,Baylor Medical,20,Yes,No
PR0368,Dr. Emily Johnson,Endocrinologist,CA,Stanford Medical,8,No,No
PR0369,Dr. Emily Johnson,Oncologist,NY,Mount Sinai,8,Yes,No
PR0370,Dr. Raj Patel,General Physician,FL,Mount Sinai,23,No,No
PR0371,Dr. Emily Johnson,Cardiologist,IL,Cleveland Clinic,15,No,No
PR0372,Dr. Raj Patel,Neurologist,FL,Mayo Clinic,30,No,No
PR0373,Dr. Emily Johnson,Oncologist,FL,Mayo Clinic,5,Yes,Yes
PR0374,Dr. Susan Clark,Neurologist,TX,Mount Sinai,28,No,No
PR0375,Dr. Lisa Chen,Cardiologist,CA,Stanford Medical,13,No,Yes
PR0376,Dr. Emily Johnson,Neurologist,NY,Mount Sinai,6,Yes,Yes
PR0377,Dr. Lisa Chen,Neurologist,CA,Cleveland Clinic,7,Yes,No
PR0378,Dr. David Lee,Neurologist,TX,Baylor Medical,7,No,Yes
PR0379,Dr. Susan Clark,General Physician,NY,Stanford Medical,7,No,Yes
PR0380,Dr. Raj Patel,Oncologist,IL,Mount Sinai,25,Yes,Yes
PR0381,Dr. Lisa Chen,General Physician,FL,Mayo Clinic,15,No,No
PR0382,Dr. Raj Patel,Neurologist,TX,Cleveland Clinic,18,No,No
PR0383,Dr. David Lee,Oncologist,IL,Mount Sinai,19,Yes,No
PR0384,Dr. David Lee,Oncologist,IL,Cleveland Clinic,20,Yes,Yes
PR0385,Dr. David Lee,Oncologist,CA,Baylor Medical,8,Yes,Yes
PR0386,Dr. Emily Johnson,Cardiologist,FL,Mayo Clinic,12,No,No
PR0387,Dr. Susan Clark,General Physician,TX,Cleveland Clinic,19,No,No
PR0388,Dr. David Lee,General Physician,FL,Stanford Medical,8,Yes,No
PR0389,Dr. Susan Clark,Endocrinologist,NY,Cleveland Clinic,7,Yes,Yes
PR0390,Dr. Lisa Chen,Cardiologist,FL,Cleveland Clinic,29,Yes,Yes
PR0391,Dr. Raj Patel,General Physician,NY,Mayo Clinic,7,Yes,No
PR0392,Dr. Emily Johnson,Cardiologist,NY,Cleveland Clinic,13,No,Yes
PR0393,Dr. Raj Patel,General Physician,TX,Baylor Medical,26,No,Yes
PR0394,Dr. Raj Patel,Oncologist,TX,Cleveland Clinic,11,Yes,Yes
PR0395,Dr. David Lee,Neurologist,IL,Stanford Medical,16,No,Yes
PR0396,Dr. Susan Clark,General Physician,FL,Mayo Clinic,21,Yes,Yes
PR0397,Dr. Susan Clark,Neurologist,CA,Stanford Medical,13,No,Yes
PR0398,Dr. David Lee,Endocrinologist,NY,Mayo Clinic,10,Yes,Yes
PR0399,Dr. Raj Patel,Oncologist,FL,Mount Sinai,27,Yes,Yes
PR0400,Dr. Lisa Chen,Cardiologist,IL,Mount Sinai,10,No,No
PR0401,Dr. Emily Johnson,Neurologist,NY,Cleveland Clinic,8,Yes,No
PR0402,Dr. Emily Johnson,Endocrinologist,CA,Stanford Medical,29,Yes,Yes
PR0403,Dr. Raj Patel,Oncologist,FL,Cleveland Clinic,12,No,No
PR0404,Dr. Susan Clark,Oncologist,NY,Cleveland Clinic,16,No,Yes
PR0405,Dr. Raj Patel,Neurologist,IL,Cleveland Clinic,26,Yes,No
PR0406,Dr. David Lee,Oncologist,TX,Mount Sinai,16,No,Yes
PR0407,Dr. Susan Clark,Cardiologist,NY,Mount Sinai,19,No,No
PR0408,Dr. David Lee,Endocrinologist,NY,Cleveland Clinic,27,Yes,No
PR0409,Dr. Susan Clark,Oncologist,CA,Cleveland Clinic,30,Yes,Yes
PR0410,Dr. Susan Clark,Endocrinologist,NY,Cleveland Clinic,5,No,No
PR0411,Dr. Raj Patel,Cardiologist,FL,Stanford Medical,26,No,No
PR0412,Dr. Raj Patel,Endocrinologist,FL,Mount Sinai,7,Yes,Yes
PR0413,Dr. David Lee,General Physician,TX,Baylor Medical,10,No,No
PR0414,Dr. Emily Johnson,Cardiologist,CA,Stanford Medical,9,No,No
PR0415,Dr. Raj Patel,Oncologist,TX,Stanford Medical,30,No,Yes
PR0416,Dr. Raj Patel,General Physician,FL,Mount Sinai,5,No,No
PR0417,Dr. Raj Patel,General Physician,FL,Mount Sinai,20,No,No
PR0418,Dr. Raj Patel,Cardiologist,TX,Cleveland Clinic,24,No,No
PR0419,Dr. Susan Clark,Oncologist,FL,Stanford Medical,7,No,No
PR0420,Dr. David Lee,Cardiologist,FL,Stanford Medical,5,No,No
PR0421,Dr. Raj Patel,Endocrinologist,TX,Cleveland Clinic,29,No,No
PR0422,Dr. Raj Patel,Cardiologist,NY,Mount Sinai,24,No,Yes
PR0423,Dr. Emily Johnson,Endocrinologist,CA,Stanford Medical,7,No,Yes
PR0424,Dr. Lisa Chen,Neurologist,NY,Stanford Medical,7,Yes,Yes
PR0425,Dr. Lisa Chen,Neurologist,IL,Stanford Medical,5,No,No
PR0426,Dr. Lisa Chen,General Physician,CA,Stanford Medical,30,Yes,Yes
PR0427,Dr. Lisa Chen,Oncologist,NY,Stanford Medical,7,Yes,No
PR0428,Dr. Raj Patel,Endocrinologist,CA,Cleveland Clinic,21,No,No
PR0429,Dr. Raj Patel,Oncologist,CA,Baylor Medical,20,No,Yes
PR0430,Dr. David Lee,Endocrinologist,CA,Mount Sinai,18,No,No
PR0431,Dr. Susan Clark,General Physician,IL,Cleveland Clinic,28,No,No
PR0432,Dr. Raj Patel,Neurologist,CA,Mount Sinai,24,Yes,No
PR0433,Dr. David Lee,Endocrinologist,NY,Cleveland Clinic,11,No,Yes
PR0434,Dr. Lisa Chen,Cardiologist,CA,Mount Sinai,27,No,No
PR0435,Dr. Lisa Chen,Endocrinologist,CA,Mount Sinai,12,No,Yes
PR0436,Dr. Raj Patel,Endocrinologist,CA,Stanford Medical,28,No,Yes
PR0437,Dr. Raj Patel,Neurologist,NY,Stanford Medical,8,No,Yes
PR0438,Dr. David Lee,Neurologist,NY,Mayo Clinic,23,Yes,Yes
PR0439,Dr. Susan Clark,Endocrinologist,IL,Stanford Medical,14,No,Yes
PR0440,Dr. Raj Patel,Neurologist,TX,Stanford Medical,22,Yes,No
PR0441,Dr. Susan Clark,Oncologist,FL,Stanford Medical,18,No,No
PR0442,Dr. Susan Clark,Endocrinologist,CA,Mount Sinai,29,Yes,Yes
PR0443,Dr. Lisa Chen,Cardiologist,CA,Mount Sinai,20,No,Yes
PR0444,Dr. Lisa Chen,Endocrinologist,NY,Mount Sinai,8,No,No
PR0445,Dr. Emily Johnson,Oncologist,FL,Cleveland Clinic,26,No,Yes
PR0446,Dr. Lisa Chen,General Physician,CA,Stanford Medical,30,Yes,Yes
PR0447,Dr. Susan Clark,Cardiologist,IL,Baylor Medical,11,Yes,No
PR0448,Dr. David Lee,Cardiologist,NY,Cleveland Clinic,24,Yes,Yes
PR0449,Dr. Raj Patel,Oncologist,TX,Cleveland Clinic,30,No,Yes
PR0450,Dr. Raj Patel,Oncologist,IL,Mount Sinai,8,No,No
PR0451,Dr. Raj Patel,Oncologist,IL,Mayo Clinic,7,Yes,Yes
PR0452,Dr. David Lee,Endocrinologist,NY,Mayo Clinic,11,No,No
PR0453,Dr. David Lee,General Physician,FL,Cleveland Clinic,6,Yes,Yes
PR0454,Dr. Lisa Chen,Cardiologist,IL,Baylor Medical,25,Yes,Yes
PR0455,Dr. Raj Patel,Oncologist,NY,Mount Sinai,18,Yes,Yes
PR0456,Dr. Raj Patel,General Physician,TX,Mayo Clinic,6,Yes,Yes
PR0457,Dr. Susan Clark,Oncologist,NY,Baylor Medical,5,No,Yes
PR0458,Dr. Emily Johnson,General Physician,FL,Stanford Medical,7,No,No
PR0459,Dr. Emily Johnson,General Physician,TX,Cleveland Clinic,5,Yes,Yes
PR0460,Dr. Susan Clark,Endocrinologist,CA,Stanford Medical,19,Yes,No
PR0461,Dr. David Lee,General Physician,TX,Baylor Medical,22,No,Yes
PR0462,Dr. Raj Patel,Cardiologist,NY,Baylor Medical,19,No,No
PR0463,Dr. Raj Patel,Endocrinologist,FL,Baylor Medical,6,Yes,No
PR0464,Dr. Emily Johnson,General Physician,IL,Mount Sinai,17,Yes,No
PR0465,Dr. Susan Clark,General Physician,IL,Cleveland Clinic,19,Yes,No
PR0466,Dr. Raj Patel,General Physician,IL,Stanford Medical,11,No,Yes
PR0467,Dr. Lisa Chen,Neurologist,TX,Stanford Medical,10,Yes,No
PR0468,Dr. Raj Patel,Cardiologist,IL,Cleveland Clinic,27,No,Yes
PR0469,Dr. Lisa Chen,Cardiologist,TX,Baylor Medical,22,No,Yes
PR0470,Dr. Susan Clark,Oncologist,IL,Mayo Clinic,17,No,Yes
PR0471,Dr. Raj Patel,General Physician,NY,Baylor Medical,11,Yes,No
PR0472,Dr. Lisa Chen,Oncologist,NY,Cleveland Clinic,10,No,Yes
PR0473,Dr. Lisa Chen,Oncologist,FL,Cleveland Clinic,27,No,No
PR0474,Dr. Emily Johnson,Cardiologist,IL,Baylor Medical,11,No,Yes
PR0475,Dr. Susan Clark,Cardiologist,NY,Mayo Clinic,16,No,Yes
PR0476,Dr. Lisa Chen,General Physician,NY,Stanford Medical,14,No,No
PR0477,Dr. Raj Patel,Cardiologist,NY,Cleveland Clinic,28,No,Yes
PR0478,Dr. David Lee,Endocrinologist,CA,Mount Sinai,7,Yes,No
PR0479,Dr. Raj Patel,Cardiologist,TX,Mount Sinai,6,Yes,No
PR0480,Dr. Lisa Chen,Oncologist,IL,Stanford Medical,22,No,No
PR0481,Dr. Susan Clark,Endocrinologist,TX,Baylor Medical,8,Yes,No
PR0482,Dr. David Lee,General Physician,CA,Stanford Medical,27,Yes,No
PR0483,Dr. David Lee,General Physician,CA,Mayo Clinic,20,Yes,Yes
PR0484,Dr. David Lee,Cardiologist,NY,Mount Sinai,8,No,Yes
PR0485,Dr. Emily Johnson,Neurologist,FL,Mayo Clinic,27,Yes,Yes
PR0486,Dr. Raj Patel,Endocrinologist,TX,Mount Sinai,20,Yes,No
PR0487,Dr. Raj Patel,Oncologist,IL,Mayo Clinic,16,No,No
PR0488,Dr. Emily Johnson,Endocrinologist,FL,Baylor Medical,22,Yes,No
PR0489,Dr. Emily Johnson,Cardiologist,TX,Mount Sinai,18,No,Yes
PR0490,Dr. Lisa Chen,Endocrinologist,TX,Cleveland Clinic,6,No,Yes
PR0491,Dr. Lisa Chen,Cardiologist,TX,Mount Sinai,24,No,Yes
PR0492,Dr. David Lee,General Physician,CA,Mount Sinai,20,Yes,No
PR0493,Dr. David Lee,General Physician,TX,Mount Sinai,7,No,Yes
PR0494,Dr. Susan Clark,Oncologist,IL,Stanford Medical,23,No,Yes
PR0495,Dr. David Lee,Neurologist,CA,Mayo Clinic,18,No,Yes
PR0496,Dr. Emily Johnson,General Physician,TX,Baylor Medical,28,No,No
PR0497,Dr. Susan Clark,Oncologist,NY,Mayo Clinic,12,Yes,No
PR0498,Dr. Raj Patel,Oncologist,FL,Stanford Medical,14,Yes,No
PR0499,Dr. Raj Patel,Endocrinologist,TX,Mayo Clinic,22,Yes,No
PR0500,Dr. David Lee,Endocrinologist,CA,Cleveland Clinic,15,Yes,No
PR0501,Dr. Raj Patel,General Physician,IL,Mount Sinai,10,Yes,No
PR0502,Dr. Raj Patel,General Physician,NY,Mayo Clinic,27,Yes,Yes
PR0503,Dr. David Lee,Cardiologist,NY,Cleveland Clinic,6,No,Yes
PR0504,Dr. Raj Patel,Neurologist,IL,Baylor Medical,6,Yes,No
PR0505,Dr. Susan Clark,Neurologist,CA,Mount Sinai,7,No,No
PR0506,Dr. Susan Clark,Cardiologist,TX,Mayo Clinic,29,No,Yes
PR0507,Dr. David Lee,General Physician,FL,Mount Sinai,8,No,No
PR0508,Dr. Susan Clark,General Physician,NY,Baylor Medical,14,No,Yes
PR0509,Dr. Emily Johnson,Neurologist,NY,Mayo Clinic,16,No,No
PR0510,Dr. David Lee,Cardiologist,NY,Mount Sinai,28,No,No
PR0511,Dr. Lisa Chen,General Physician,TX,Mount Sinai,23,No,No
PR0512,Dr. Lisa Chen,Cardiologist,TX,Mount Sinai,10,No,Yes
PR0513,Dr. Raj Patel,Oncologist,IL,Mayo Clinic,30,Yes,Yes
PR0514,Dr. Raj Patel,Endocrinologist,FL,Stanford Medical,28,Yes,No
PR0515,Dr. Emily Johnson,Neurologist,TX,Cleveland Clinic,20,No,Yes
PR0516,Dr. Emily Johnson,General Physician,CA,Mayo Clinic,28,No,Yes
PR0517,Dr. Susan Clark,Cardiologist,NY,Mount Sinai,6,Yes,Yes
PR0518,Dr. Lisa Chen,Endocrinologist,FL,Mayo Clinic,9,No,No
PR0519,Dr. David Lee,Cardiologist,TX,Stanford Medical,26,No,Yes
PR0520,Dr. Raj Patel,Oncologist,CA,Stanford Medical,21,Yes,No
PR0521,Dr. Susan Clark,Cardiologist,CA,Mount Sinai,18,No,Yes
PR0522,Dr. David Lee,Cardiologist,TX,Mayo Clinic,27,Yes,Yes
PR0523,Dr. Lisa Chen,Endocrinologist,CA,Mount Sinai,24,No,No
PR0524,Dr. Raj Patel,Cardiologist,FL,Baylor Medical,10,Yes,Yes
PR0525,Dr. Raj Patel,Neurologist,CA,Cleveland Clinic,25,No,Yes
PR0526,Dr. Lisa Chen,General Physician,CA,Baylor Medical,30,No,Yes
PR0527,Dr. Emily Johnson,Oncologist,CA,Cleveland Clinic,24,No,No
PR0528,Dr. Emily Johnson,General Physician,CA,Cleveland Clinic,19,Yes,No
PR0529,Dr. Susan Clark,Oncologist,NY,Cleveland Clinic,13,No,No
PR0530,Dr. David Lee,Endocrinologist,FL,Mount Sinai,5,Yes,No
PR0531,Dr. Susan Clark,Endocrinologist,FL,Mount Sinai,16,Yes,No
PR0532,Dr. Raj Patel,General Physician,CA,Cleveland Clinic,7,No,Yes
PR0533,Dr. David Lee,Oncologist,NY,Cleveland Clinic,22,No,No
PR0534,Dr. Raj Patel,Neurologist,CA,Baylor Medical,8,Yes,Yes
PR0535,Dr. David Lee,Cardiologist,CA,Stanford Medical,7,Yes,Yes
PR0536,Dr. Emily Johnson,Neurologist,NY,Baylor Medical,8,Yes,No
PR0537,Dr. David Lee,Cardiologist,CA,Stanford Medical,8,Yes,No
PR0538,Dr. David Lee,General Physician,IL,Baylor Medical,8,Yes,No
PR0539,Dr. Lisa Chen,General Physician,FL,Mayo Clinic,5,Yes,Yes
PR0540,Dr. Susan Clark,Cardiologist,TX,Mount Sinai,14,No,No
PR0541,Dr. Emily Johnson,Oncologist,FL,Baylor Medical,10,No,No
PR0542,Dr. Raj Patel,Endocrinologist,FL,Mount Sinai,12,Yes,No
PR0543,Dr. David Lee,Neurologist,FL,Mayo Clinic,25,No,Yes
PR0544,Dr. Emily Johnson,General Physician,NY,Mayo Clinic,6,Yes,Yes
PR0545,Dr. David Lee,Oncologist,FL,Mayo Clinic,29,Yes,No
PR0546,Dr. David Lee,Endocrinologist,FL,Baylor Medical,13,No,Yes
PR0547,Dr. Susan Clark,Neurologist,NY,Mount Sinai,21,No,No
PR0548,Dr. Raj Patel,Oncologist,FL,Baylor Medical,5,No,No
PR0549,Dr. Emily Johnson,Neurologist,NY,Baylor Medical,26,Yes,Yes
PR0550,Dr. Lisa Chen,Neurologist,NY,Cleveland Clinic,22,No,No
PR0551,Dr. Emily Johnson,Neurologist,IL,Mount Sinai,11,No,Yes
PR0552,Dr. Raj Patel,Cardiologist,CA,Mount Sinai,15,No,Yes
PR0553,Dr. David Lee,Oncologist,FL,Cleveland Clinic,15,No,No
PR0554,Dr. Raj Patel,Neurologist,TX,Cleveland Clinic,9,Yes,No
PR0555,Dr. David Lee,Cardiologist,TX,Mayo Clinic,8,No,No
PR0556,Dr. Susan Clark,General Physician,NY,Baylor Medical,27,Yes,No
PR0557,Dr. Susan Clark,Endocrinologist,CA,Stanford Medical,8,Yes,Yes
PR0558,Dr. David Lee,Neurologist,TX,Mount Sinai,11,Yes,No
PR0559,Dr. David Lee,Oncologist,IL,Mayo Clinic,7,No,No
PR0560,Dr. Emily Johnson,General Physician,CA,Baylor Medical,16,Yes,Yes
PR0561,Dr. Susan Clark,Oncologist,IL,Baylor Medical,7,Yes,No
PR0562,Dr. Susan Clark,Neurologist,IL,Baylor Medical,9,No,Yes
PR0563,Dr. Susan Clark,Neurologist,NY,Cleveland Clinic,6,No,Yes
PR0564,Dr. Lisa Chen,Cardiologist,FL,Mount Sinai,26,Yes,Yes
PR0565,Dr. Raj Patel,Cardiologist,NY,Cleveland Clinic,8,No,No
PR0566,Dr. Lisa Chen,Oncologist,NY,Cleveland Clinic,28,No,Yes
PR0567,Dr. David Lee,Endocrinologist,FL,Cleveland Clinic,17,Yes,No
PR0568,Dr. Raj Patel,Oncologist,IL,Mount Sinai,18,No,No
PR0569,Dr. Susan Clark,Oncologist,CA,Cleveland Clinic,20,Yes,Yes
PR0570,Dr. Lisa Chen,General Physician,TX,Mount Sinai,21,Yes,Yes
PR0571,Dr. Lisa Chen,Cardiologist,FL,Mount Sinai,20,Yes,Yes
PR0572,Dr. Susan Clark,General Physician,CA,Mayo Clinic,13,Yes,No
PR0573,Dr. Susan Clark,Neurologist,IL,Cleveland Clinic,10,Yes,Yes
PR0574,Dr. David Lee,Neurologist,IL,Cleveland Clinic,5,Yes,No
PR0575,Dr. David Lee,Endocrinologist,CA,Mayo Clinic,23,Yes,Yes
PR0576,Dr. Raj Patel,Cardiologist,IL,Cleveland Clinic,5,No,Yes
PR0577,Dr. David Lee,Cardiologist,TX,Cleveland Clinic,13,Yes,No
PR0578,Dr. Lisa Chen,Neurologist,CA,Baylor Medical,30,No,No
PR0579,Dr. David Lee,Endocrinologist,FL,Stanford Medical,15,No,Yes
PR0580,Dr. Emily Johnson,Cardiologist,NY,Stanford Medical,28,Yes,Yes
PR0581,Dr. Lisa Chen,Endocrinologist,FL,Mount Sinai,7,Yes,No
PR0582,Dr. David Lee,Endocrinologist,IL,Cleveland Clinic,15,No,Yes
PR0583,Dr. Lisa Chen,Oncologist,NY,Cleveland Clinic,22,Yes,Yes
PR0584,Dr. David Lee,Oncologist,FL,Stanford Medical,23,No,No
PR0585,Dr. Emily Johnson,General Physician,TX,Stanford Medical,26,No,No
PR0586,Dr. Emily Johnson,Cardiologist,CA,Mayo Clinic,30,Yes,Yes
PR0587,Dr. Susan Clark,Cardiologist,IL,Stanford Medical,13,Yes,Yes
PR0588,Dr. David Lee,Cardiologist,TX,Cleveland Clinic,9,Yes,Yes
PR0589,Dr. Raj Patel,Oncologist,NY,Cleveland Clinic,15,No,Yes
PR0590,Dr. Lisa Chen,Neurologist,NY,Baylor Medical,13,No,Yes
PR0591,Dr. Lisa Chen,Oncologist,IL,Mount Sinai,19,No,Yes
PR0592,Dr. Susan Clark,General Physician,TX,Cleveland Clinic,26,Yes,No
PR0593,Dr. Susan Clark,Cardiologist,FL,Baylor Medical,19,No,Yes
PR0594,Dr. Lisa Chen,Oncologist,NY,Cleveland Clinic,14,No,Yes
PR0595,Dr. Emily Johnson,Neurologist,IL,Baylor Medical,28,No,Yes
PR0596,Dr. Lisa Chen,General Physician,IL,Cleveland Clinic,27,No,Yes
PR0597,Dr. Lisa Chen,Endocrinologist,TX,Mount Sinai,28,Yes,No
PR0598,Dr. Raj Patel,Cardiologist,IL,Baylor Medical,23,Yes,No
PR0599,Dr. Emily Johnson,General Physician,TX,Cleveland Clinic,21,No,No
PR0600,Dr. Susan Clark,Neurologist,TX,Mount Sinai,9,Yes,No
PR0601,Dr. Lisa Chen,Neurologist,IL,Mount Sinai,13,No,No
PR0602,Dr. Lisa Chen,Neurologist,IL,Cleveland Clinic,12,No,Yes
PR0603,Dr. Lisa Chen,Neurologist,CA,Stanford Medical,7,No,No
PR0604,Dr. Emily Johnson,Neurologist,NY,Stanford Medical,18,No,No
PR0605,Dr. Susan Clark,Oncologist,FL,Mount Sinai,29,No,No
PR0606,Dr. David Lee,Cardiologist,TX,Stanford Medical,13,No,Yes
PR0607,Dr. Raj Patel,Cardiologist,TX,Mayo Clinic,18,Yes,Yes
PR0608,Dr. Raj Patel,Endocrinologist,CA,Mayo Clinic,8,No,Yes
PR0609,Dr. Lisa Chen,Neurologist,TX,Cleveland Clinic,7,No,Yes
PR0610,Dr. Lisa Chen,General Physician,FL,Baylor Medical,6,No,No
PR0611,Dr. Emily Johnson,Oncologist,NY,Stanford Medical,6,No,Yes
PR0612,Dr. Emily Johnson,General Physician,FL,Mount Sinai,24,Yes,No
PR0613,Dr. Emily Johnson,Endocrinologist,FL,Stanford Medical,8,No,No
PR0614,Dr. Emily Johnson,Cardiologist,FL,Mayo Clinic,18,No,Yes
PR0615,Dr. Emily Johnson,General Physician,NY,Stanford Medical,24,No,No
PR0616,Dr. Susan Clark,General Physician,CA,Mount Sinai,9,No,No
PR0617,Dr. Emily Johnson,Neurologist,FL,Mount Sinai,21,No,No
PR0618,Dr. Emily Johnson,Neurologist,CA,Baylor Medical,13,No,Yes
PR0619,Dr. Susan Clark,Endocrinologist,CA,Cleveland Clinic,11,Yes,No
PR0620,Dr. Susan Clark,Neurologist,FL,Cleveland Clinic,5,Yes,Yes
PR0621,Dr. David Lee,Endocrinologist,FL,Mayo Clinic,15,Yes,Yes
PR0622,Dr. Susan Clark,General Physician,TX,Stanford Medical,17,No,Yes
PR0623,Dr. Lisa Chen,Neurologist,NY,Stanford Medical,14,No,No
PR0624,Dr. Emily Johnson,Oncologist,CA,Baylor Medical,16,No,No
PR0625,Dr. Emily Johnson,Endocrinologist,IL,Mount Sinai,20,No,Yes
PR0626,Dr. Susan Clark,General Physician,NY,Mayo Clinic,27,Yes,No
PR0627,Dr. Lisa Chen,Cardiologist,CA,Cleveland Clinic,28,No,No
PR0628,Dr. Raj Patel,Oncologist,IL,Cleveland Clinic,22,No,Yes
PR0629,Dr. Susan Clark,Cardiologist,CA,Mayo Clinic,27,No,Yes
PR0630,Dr. Susan Clark,Neurologist,NY,Cleveland Clinic,30,Yes,No
PR0631,Dr. Susan Clark,Neurologist,TX,Mayo Clinic,18,Yes,No
PR0632,Dr. Raj Patel,Cardiologist,CA,Mayo Clinic,6,Yes,No
PR0633,Dr. Susan Clark,General Physician,CA,Stanford Medical,18,No,No
PR0634,Dr. David Lee,Cardiologist,IL,Baylor Medical,6,Yes,No
PR0635,Dr. Lisa Chen,Neurologist,NY,Baylor Medical,23,No,No
PR0636,Dr. Susan Clark,General Physician,TX,Baylor Medical,17,No,No
PR0637,Dr. Raj Patel,Cardiologist,CA,Mount Sinai,25,Yes,Yes
PR0638,Dr. Emily Johnson,Neurologist,FL,Stanford Medical,15,No,No
PR0639,Dr. Lisa Chen,Oncologist,CA,Baylor Medical,29,No,Yes
PR0640,Dr. David Lee,Oncologist,TX,Cleveland Clinic,17,Yes,No
PR0641,Dr. Raj Patel,Oncologist,FL,Stanford Medical,18,No,No
PR0642,Dr. Susan Clark,General Physician,IL,Cleveland Clinic,26,No,No
PR0643,Dr. Emily Johnson,General Physician,FL,Mayo Clinic,9,Yes,No
PR0644,Dr. Raj Patel,Cardiologist,NY,Baylor Medical,14,No,No
PR0645,Dr. Lisa Chen,General Physician,TX,Mount Sinai,25,Yes,No
PR0646,Dr. David Lee,Oncologist,CA,Cleveland Clinic,12,Yes,Yes
PR0647,Dr. Raj Patel,Oncologist,NY,Mount Sinai,25,Yes,No
PR0648,Dr. Raj Patel,Endocrinologist,NY,Baylor Medical,23,Yes,Yes
PR0649,Dr. Raj Patel,Cardiologist,CA,Mayo Clinic,12,No,Yes
PR0650,Dr. David Lee,Neurologist,NY,Stanford Medical,27,No,No
PR0651,Dr. Susan Clark,Neurologist,NY,Mount Sinai,30,Yes,No
PR0652,Dr. Susan Clark,Cardiologist,NY,Mayo Clinic,13,Yes,Yes
PR0653,Dr. Emily Johnson,Neurologist,FL,Baylor Medical,20,Yes,Yes
PR0654,Dr. Emily Johnson,Neurologist,TX,Baylor Medical,22,Yes,No
PR0655,Dr. Emily Johnson,Oncologist,FL,Mount Sinai,16,Yes,No
PR0656,Dr. David Lee,Cardiologist,FL,Mount Sinai,26,Yes,No
PR0657,Dr. Emily Johnson,Oncologist,NY,Mayo Clinic,23,No,Yes
PR0658,Dr. Lisa Chen,Endocrinologist,CA,Cleveland Clinic,26,No,No
PR0659,Dr. Susan Clark,Oncologist,FL,Stanford Medical,15,No,No
PR0660,Dr. Emily Johnson,Cardiologist,CA,Mayo Clinic,23,Yes,No
PR0661,Dr. Susan Clark,Neurologist,NY,Baylor Medical,15,Yes,No
PR0662,Dr. Emily Johnson,Cardiologist,TX,Mount Sinai,13,No,No
PR0663,Dr. Susan Clark,Cardiologist,NY,Baylor Medical,7,No,Yes
PR0664,Dr. David Lee,Oncologist,TX,Mount Sinai,9,Yes,Yes
PR0665,Dr. Raj Patel,Cardiologist,NY,Mayo Clinic,16,No,Yes
